STATION_ID,STATION_NAME,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE_EXP,YELLOW,PINK,ORANGE,LOCATION,LATITUDE,LONGITUDE,geometry
40340,Berwyn (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.977984, -87.658668)",41.977984,-87.658668,POINT (-87.658668 41.977984)
40350,UIC-Halsted (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.875474, -87.649707)",41.875474,-87.649707,POINT (-87.649707 41.875474)
40360,Southport (Brown Line),True,False,False,False,True,False,False,False,False,False,"(41.943744, -87.663619)",41.943744,-87.663619,POINT (-87.663619 41.943744)
40370,Washington (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.883164, -87.62944)",41.883164,-87.62944,POINT (-87.62944 41.883164)
40380,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",True,False,True,True,True,False,True,False,True,True,"(41.885737, -87.630886)",41.885737,-87.630886,POINT (-87.630886 41.885737)
40390,Forest Park (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.874257, -87.817318)",41.874257,-87.817318,POINT (-87.817318 41.874257)
40400,Noyes (Purple Line),False,False,False,False,False,True,True,False,False,False,"(42.058282, -87.683337)",42.058282,-87.683337,POINT (-87.683337 42.058282)
40420,Cicero (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.85182, -87.745336)",41.85182,-87.745336,POINT (-87.745336 41.85182)
40430,Clinton (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.875539, -87.640984)",41.875539,-87.640984,POINT (-87.640984 41.875539)
40440,California (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.854109, -87.694774)",41.854109,-87.694774,POINT (-87.694774 41.854109)
40450,95th/Dan Ryan (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.722377, -87.624342)",41.722377,-87.624342,POINT (-87.624342 41.722377)
40460,Merchandise Mart (Brown & Purple lines),True,False,False,False,True,False,True,False,False,False,"(41.888969, -87.633924)",41.888969,-87.633924,POINT (-87.633924 41.888969)
40470,Racine (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",41.87592,-87.659458,POINT (-87.659458 41.87592)
40480,Cicero (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.886519, -87.744698)",41.886519,-87.744698,POINT (-87.744698 41.886519)
40490,Grand (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.891189, -87.647578)",41.891189,-87.647578,POINT (-87.647578 41.891189)
